h,k,l,Fo^2_raw,Fo^2_sigma_raw,asu_h,asu_k,asu_l,Resolution,xobs,yobs,zobs,frame,Fc^2,Fo^2_fcf,Fo^2_sigma_fcf,fcf_asu_count,Fo^2_scaled,Fo^2_sigma_scaled,SRES,absSRES,Miller,asu,hkl
0,7,-14,3896.0999999999995,2639.98,0,14,7,0.7608381012584287,452.0,224.6,15.5,16,1.4,2.69,2.08,11,3.1410432720113564,2.1283569254496912,0.818022227001939,0.818022227001939,"(0, 7, -14)","(0, 14, 7)","(0, 7, -14)"
-3,12,-4,9853.090000000002,4544.39,3,12,4,0.9160769230769232,376.3,359.9,15.7,16,11.73,17.53,7.8,27,7.943580003855749,3.6636959099858037,-1.0334973450782172,1.0334973450782172,"(-3, 12, -4)","(3, 12, 4)","(-3, 12, -4)"
-1,0,6,81359.99999999999,32872.0,0,6,1,1.9578275398195002,177.6,295.4,16.1,16,51.58,53.76,21.84,14,65.59258761603756,26.50146927377565,0.5287475751355275,0.5287475751355275,"(-1, 0, 6)","(0, 6, 1)","(-1, 0, 6)"
-3,0,17,5387.48,3110.49,0,17,3,0.6898698471742831,53.8,382.5,16.3,16,9.36,10.775,4.970000000000001,14,4.343396680551255,2.507682987387029,-2.0004934214894425,2.0004934214894425,"(-3, 0, 17)","(0, 17, 3)","(-3, 0, 17)"
-1,-5,14,2998.7200000000003,2292.95,1,14,5,0.7992797461543818,51.0,299.6,16.5,16,1.56,2.71,2.055,26,2.417573799606246,1.848580675690675,0.46390931750156666,0.46390931750156666,"(-1, -5, 14)","(1, 14, 5)","(-1, -5, 14)"
-4,4,16,10890.0,5078.77,4,16,4,0.7017445547625497,94.9,422.1,16.7,17,8.9,9.86,4.79,15,8.779538829137772,4.094514088086322,-0.029420138329168323,0.029420138329168323,"(-4, 4, 16)","(4, 16, 4)","(-4, 4, 16)"
-3,13,-6,16212.0,7215.240000000001,3,13,6,0.8140824804936716,405.9,356.0,16.9,17,3.14,5.52,3.11,24,13.070145408446423,5.816940288480076,1.7071080183016796,1.7071080183016796,"(-3, 13, -6)","(3, 13, 6)","(-3, 13, -6)"
-1,8,-9,34458.0,14508.999999999998,1,9,8,0.9855958527365601,403.1,273.4,17.1,17,15.08,24.46,10.61,23,27.780105507293786,11.697183551144162,1.0857404649388034,1.0857404649388034,"(-1, 8, -9)","(1, 9, 8)","(-1, 8, -9)"
-2,1,10,23354.999999999996,9912.7,1,10,2,1.1621993968744084,139.9,339.0,17.1,17,13.39,20.2,8.31,31,18.828845670754145,7.991637699870891,0.6805670971347978,0.6805670971347978,"(-2, 1, 10)","(1, 10, 2)","(-2, 1, 10)"
-1,5,-3,71876.0,29061.0,1,5,3,2.0129884039123813,313.6,284.4,17.2,17,58.18,64.87,26.24,19,57.94656867613467,23.42903378453377,-0.00996333549270937,0.00996333549270937,"(-1, 5, -3)","(1, 5, 3)","(-1, 5, -3)"
-5,6,18,2165.21,1859.6999999999998,5,18,6,0.6069388402830684,88.1,460.8,18.1,18,0.69,1.17,1.6349999999999998,22,1.7455964433643154,1.4992936970199737,0.7040624831962145,0.7040624831962145,"(-5, 6, 18)","(5, 18, 6)","(-5, 6, 18)"
-4,2,19,1762.8300000000002,1745.79,2,19,4,0.6101165522661072,47.0,421.8,18.7,19,1.82,2.3550000000000004,2.0999999999999996,28,1.4211969177381947,1.407459237146045,-0.28334965001933027,0.28334965001933027,"(-4, 2, 19)","(2, 19, 4)","(-4, 2, 19)"
